user_id,username,country,vip_status,registration_date,total_deposited,total_withdrawn,lifetime_bets,lifetime_staked,lifetime_won,lifetime_GGR
1,User1,ES,Silver,2023-07-31,1910.37,720.74,4,1512.49,1904.07,-391.58
2,User2,IT,VIP,2023-05-24,5887.18,5139.79,42,11242.23,12444.81,-1202.58
3,User3,PL,Gold,2022-11-21,6527.04,6052.54,10,2344.02,2001.74,342.28
4,User4,DK,Regular,2022-11-06,3872.82,3355.15,16,3100.08,1444.79,1655.29
5,User5,ES,VIP,2022-11-09,9928.18,8650.01,34,9025.55,9844.06,-818.51
6,User6,PL,VIP,2023-04-06,6236.74,2183.16,11,2858.2,5674.7,-2816.5
7,User7,UK,Gold,2023-09-05,1944.82,1306.03,2,408.24,78.16,330.08
8,User8,SE,Gold,2023-11-05,3785.56,1319.17,4,683.96,19.86,664.1
9,User9,IT,Gold,2023-10-13,6099.25,2462.42,6,1334.76,2558.67,-1223.91
10,User10,SE,Regular,2023-06-01,4721.61,3951.84,12,2657.4,3754.38,-1096.98
11,User11,DK,Gold,2024-01-10,3906.36,2259.35,44,10206.16,13771.2,-3565.04
12,User12,FR,VIP,2022-08-23,1765.11,619.85,47,11562.12,19460.27,-7898.15
13,User13,DK,Silver,2022-08-16,1871.43,1694.34,49,12933.7,17704.96,-4771.26
14,User14,ES,Gold,2023-03-17,4431.72,1816.09,31,6293.42,7041.08,-747.66
15,User15,NO,Silver,2023-01-23,2199.85,1604.42,34,7794.04,5760.18,2033.86
16,User16,SE,Regular,2023-01-14,6807.76,4435.31,19,4543.53,4651.63,-108.1
17,User17,NL,Regular,2023-10-29,5406.48,2516.63,33,8776.12,12059.36,-3283.24
18,User18,FR,VIP,2023-03-10,8900.7,2752.09,32,8300.13,14918.26,-6618.13
19,User19,NL,Regular,2023-01-08,4615.69,2584.19,36,9233.71,9148.25,85.46
20,User20,SE,VIP,2022-10-23,4795.28,4347.19,18,4923.82,7847.91,-2924.09
21,User21,NL,Regular,2023-01-06,5354.73,2409.66,30,7893.87,5912.25,1981.62
22,User22,NL,Regular,2022-10-14,2673.31,1021.32,4,824.84,93.14,731.7
23,User23,FR,Silver,2024-02-08,6029.66,4835.76,50,12447.39,12115.87,331.52
24,User24,NO,Silver,2023-03-05,7624.86,5669.32,14,2753.17,3680.7,-927.53
25,User25,PL,Silver,2022-11-27,1454.3,1355.1,28,6358.74,6163.48,195.26
26,User26,DK,Silver,2023-04-24,8272.83,7370.82,38,8245.97,14261.61,-6015.64
27,User27,NO,Silver,2022-08-20,2062.97,1933.73,27,5882.86,8755.45,-2872.59
28,User28,DK,Silver,2023-02-15,8597.97,4540.95,17,3634.47,4167.55,-533.08
29,User29,SE,VIP,2023-03-28,6519.09,2960.08,27,7351.19,8242.88,-891.69
30,User30,SE,VIP,2022-09-10,9681.79,6346.65,21,5593.55,5434.76,158.79
31,User31,UK,Gold,2022-12-15,6866.59,3112.36,17,3771.56,6700.86,-2929.3
32,User32,NO,Regular,2023-03-18,2853.98,1799.22,38,9962.43,11377.56,-1415.13
33,User33,ES,Silver,2024-01-23,7976.77,7048.22,41,11080.83,11462.92,-382.09
34,User34,FR,Gold,2022-12-20,7173.98,3076.65,11,2639.9,3308.99,-669.09
35,User35,PL,Silver,2022-09-11,595.69,530.11,4,619.03,613.59,5.44
36,User36,NO,Gold,2022-12-27,681.96,224.69,46,11552.8,17158.15,-5605.35
37,User37,SE,Silver,2022-12-11,6873.53,6232.97,14,3150.89,6653.46,-3502.57
38,User38,SE,Gold,2024-02-01,8561.8,3216.71,29,6824.61,11277.84,-4453.23
39,User39,SE,VIP,2022-10-03,8041.06,6469.92,11,2856.86,4595.15,-1738.29
40,User40,IT,Regular,2024-01-31,817.51,542.27,5,1012.69,134.35,878.34
41,User41,DE,Regular,2023-06-08,532.1,300.49,29,7067.75,6244.23,823.52
42,User42,IT,Regular,2022-11-06,8217.28,3302.11,3,654.04,565.21,88.83
43,User43,SE,Regular,2023-08-05,3937.35,2121.79,45,11634.88,15532.93,-3898.05
44,User44,DK,Silver,2023-07-05,4056.45,1356.92,22,5203.82,12139.4,-6935.58
45,User45,SE,Gold,2022-08-13,8095.32,4004.41,4,1396.77,1676.63,-279.86
46,User46,FR,Regular,2023-10-03,338.75,133.26,42,11574.49,14260.65,-2686.16
47,User47,IT,VIP,2022-12-06,7369.76,2740.03,19,3810.64,4305.99,-495.35
48,User48,NL,VIP,2023-06-28,262.59,192.05,7,1583.88,2505.26,-921.38
49,User49,DE,Gold,2022-08-24,2095.98,1420.28,9,2829.83,5000.45,-2170.62
50,User50,UK,Gold,2022-09-19,9150.22,5818.33,2,568.4,1140.08,-571.68
51,User51,NO,VIP,2023-06-07,4024.5,2316.25,28,5234.53,8137.19,-2902.66
52,User52,ES,Gold,2024-01-22,4809.58,2487.48,11,3092.05,1643.05,1449.0
53,User53,FR,VIP,2023-02-08,3460.78,1816.19,31,7957.45,6211.44,1746.01
54,User54,PL,Silver,2023-04-18,8307.25,4486.79,6,1787.66,2158.49,-370.83
55,User55,NL,Gold,2024-02-06,4676.59,1811.86,21,5089.38,4223.33,866.05
56,User56,PL,VIP,2023-02-16,9421.43,8678.12,35,9612.07,7255.65,2356.42
57,User57,NO,Regular,2022-11-22,1799.2,1569.11,18,4102.32,2950.57,1151.75
58,User58,ES,Silver,2023-03-13,6263.98,5048.59,10,2222.52,4978.95,-2756.43
59,User59,FR,VIP,2022-09-22,6251.26,3640.78,7,2459.34,1681.86,777.48
60,User60,DK,Gold,2023-09-10,2443.06,1775.91,32,8965.88,12345.63,-3379.75
61,User61,SE,VIP,2023-05-01,4892.82,1756.32,26,6496.44,5419.6,1076.84
62,User62,NO,VIP,2023-06-08,7750.51,6174.81,31,8551.6,10913.03,-2361.43
63,User63,NL,Regular,2022-08-17,4438.77,2119.06,23,6328.01,4483.45,1844.56
64,User64,UK,Gold,2023-05-21,619.72,538.36,46,13069.43,14172.64,-1103.21
65,User65,NO,Gold,2023-03-05,8493.82,4208.03,46,11697.47,14485.36,-2787.89
66,User66,FR,Silver,2023-09-28,6978.15,6167.19,37,9382.32,12251.95,-2869.63
67,User67,UK,Silver,2023-04-11,5947.09,3955.98,12,3115.94,2234.69,881.25
68,User68,IT,Regular,2023-04-13,8054.37,5266.5,49,11737.1,13595.22,-1858.12
69,User69,FR,Regular,2023-08-20,7400.09,6346.66,44,11638.57,13743.78,-2105.21
70,User70,ES,Silver,2023-10-21,4640.32,2916.29,35,7341.91,8165.5,-823.59
71,User71,PL,Gold,2023-01-03,5771.06,2613.16,48,12070.06,10637.79,1432.27
72,User72,UK,VIP,2023-10-05,6249.0,2351.22,46,11482.22,18875.74,-7393.52
73,User73,SE,Silver,2023-07-07,4990.76,2775.47,46,12922.34,13274.93,-352.59
74,User74,IT,Regular,2023-07-14,1387.05,612.15,12,3030.77,2167.07,863.7
75,User75,FR,Regular,2022-12-27,7305.46,5470.69,15,4052.02,9223.23,-5171.21
76,User76,NL,Gold,2023-05-25,9726.24,7435.81,16,3823.16,3513.8,309.36
77,User77,DE,Silver,2022-11-18,473.44,273.9,41,10965.48,12889.47,-1923.99
78,User78,NL,Regular,2023-12-17,5099.81,4724.14,39,10366.19,11915.23,-1549.04
79,User79,DE,VIP,2024-02-07,9883.93,4044.43,28,5584.27,9593.82,-4009.55
80,User80,IT,VIP,2023-03-26,159.21,79.46,50,11554.9,14261.19,-2706.29
81,User81,FR,Gold,2023-07-05,9788.87,6326.69,42,11524.53,17653.97,-6129.44
82,User82,FR,Gold,2022-11-30,5573.95,4898.04,38,9207.63,12886.85,-3679.22
83,User83,NO,Silver,2024-01-28,4095.7,1347.95,45,11254.69,9929.31,1325.38
84,User84,NO,VIP,2023-02-01,2668.11,804.61,32,7235.4,5961.1,1274.3
85,User85,ES,Regular,2023-11-27,6722.82,3685.87,36,10441.76,9325.76,1116.0
86,User86,ES,VIP,2023-03-05,721.0,531.17,9,1875.15,2797.24,-922.09
87,User87,FR,Gold,2023-04-05,8185.39,5853.15,14,3114.89,4680.54,-1565.65
88,User88,DK,Silver,2023-10-24,5159.91,3707.82,22,6067.77,8138.96,-2071.19
89,User89,UK,Gold,2023-11-06,2579.56,2415.93,20,5144.12,6891.97,-1747.85
90,User90,DE,VIP,2024-01-19,8636.68,4032.58,39,10166.98,14483.99,-4317.01
91,User91,DK,VIP,2023-05-21,3465.55,1236.41,48,13749.31,27632.75,-13883.44
92,User92,FR,Gold,2022-12-06,7846.18,4770.9,16,4346.2,6203.26,-1857.06
93,User93,PL,Silver,2023-05-09,238.77,138.82,30,8316.01,11396.06,-3080.05
94,User94,DK,Silver,2023-12-30,7457.78,3666.79,2,795.19,0.0,795.19
95,User95,NO,VIP,2023-06-25,7568.24,2949.44,17,4516.92,3048.59,1468.33
96,User96,NO,Gold,2023-01-05,5128.24,3730.55,19,4804.56,6862.72,-2058.16
97,User97,DK,Regular,2023-12-28,7029.09,2692.15,22,6066.18,9088.69,-3022.51
98,User98,IT,Gold,2023-10-28,1959.45,1668.45,11,2885.31,5200.03,-2314.72
99,User99,DK,VIP,2023-06-04,9495.81,7106.57,24,6670.32,7112.09,-441.77
100,User100,NO,Silver,2023-01-15,1997.91,1799.72,1,287.84,0.0,287.84
101,User101,FR,Gold,2023-04-23,4598.31,4223.46,17,4244.63,2621.54,1623.09
102,User102,DK,VIP,2023-02-22,9362.07,8876.58,48,11169.08,13744.15,-2575.07
103,User103,PL,Regular,2023-08-29,205.79,132.24,19,4125.39,5156.46,-1031.07
104,User104,ES,Gold,2023-12-06,3581.07,3150.01,27,7165.49,8130.5,-965.01
