user_id,username,country,registration_date,total_deposited,total_withdrawn,vip_status
1,User1,ES,2023-07-31,1910.37,720.74,Silver
2,User2,IT,2023-05-24,5887.18,5139.79,VIP
3,User3,PL,2022-11-21,6527.04,6052.54,Gold
4,User4,DK,2022-11-06,3872.82,3355.15,Regular
5,User5,ES,2022-11-09,9928.18,8650.01,VIP
6,User6,PL,2023-04-06,6236.74,2183.16,VIP
7,User7,UK,2023-09-05,1944.82,1306.03,Gold
8,User8,SE,2023-11-05,3785.56,1319.17,Gold
9,User9,IT,2023-10-13,6099.25,2462.42,Gold
10,User10,SE,2023-06-01,4721.61,3951.84,Regular
11,User11,DK,2024-01-10,3906.36,2259.35,Gold
12,User12,FR,2022-08-23,1765.11,619.85,VIP
13,User13,DK,2022-08-16,1871.43,1694.34,Silver
14,User14,ES,2023-03-17,4431.72,1816.09,Gold
15,User15,NO,2023-01-23,2199.85,1604.42,Silver
16,User16,SE,2023-01-14,6807.76,4435.31,Regular
17,User17,NL,2023-10-29,5406.48,2516.63,Regular
18,User18,FR,2023-03-10,8900.7,2752.09,VIP
19,User19,NL,2023-01-08,4615.69,2584.19,Regular
20,User20,SE,2022-10-23,4795.28,4347.19,VIP
21,User21,NL,2023-01-06,5354.73,2409.66,Regular
22,User22,NL,2022-10-14,2673.31,1021.32,Regular
23,User23,FR,2024-02-08,6029.66,4835.76,Silver
24,User24,NO,2023-03-05,7624.86,5669.32,Silver
25,User25,PL,2022-11-27,1454.3,1355.1,Silver
26,User26,DK,2023-04-24,8272.83,7370.82,Silver
27,User27,NO,2022-08-20,2062.97,1933.73,Silver
28,User28,DK,2023-02-15,8597.97,4540.95,Silver
29,User29,SE,2023-03-28,6519.09,2960.08,VIP
30,User30,SE,2022-09-10,9681.79,6346.65,VIP
31,User31,UK,2022-12-15,6866.59,3112.36,Gold
32,User32,NO,2023-03-18,2853.98,1799.22,Regular
33,User33,ES,2024-01-23,7976.77,7048.22,Silver
34,User34,FR,2022-12-20,7173.98,3076.65,Gold
35,User35,PL,2022-09-11,595.69,530.11,Silver
36,User36,NO,2022-12-27,681.96,224.69,Gold
37,User37,SE,2022-12-11,6873.53,6232.97,Silver
38,User38,SE,2024-02-01,8561.8,3216.71,Gold
39,User39,SE,2022-10-03,8041.06,6469.92,VIP
40,User40,IT,2024-01-31,817.51,542.27,Regular
41,User41,DE,2023-06-08,532.1,300.49,Regular
42,User42,IT,2022-11-06,8217.28,3302.11,Regular
43,User43,SE,2023-08-05,3937.35,2121.79,Regular
44,User44,DK,2023-07-05,4056.45,1356.92,Silver
45,User45,SE,2022-08-13,8095.32,4004.41,Gold
46,User46,FR,2023-10-03,338.75,133.26,Regular
47,User47,IT,2022-12-06,7369.76,2740.03,VIP
48,User48,NL,2023-06-28,262.59,192.05,VIP
49,User49,DE,2022-08-24,2095.98,1420.28,Gold
50,User50,UK,2022-09-19,9150.22,5818.33,Gold
51,User51,NO,2023-06-07,4024.5,2316.25,VIP
52,User52,ES,2024-01-22,4809.58,2487.48,Gold
53,User53,FR,2023-02-08,3460.78,1816.19,VIP
54,User54,PL,2023-04-18,8307.25,4486.79,Silver
55,User55,NL,2024-02-06,4676.59,1811.86,Gold
56,User56,PL,2023-02-16,9421.43,8678.12,VIP
57,User57,NO,2022-11-22,1799.2,1569.11,Regular
58,User58,ES,2023-03-13,6263.98,5048.59,Silver
59,User59,FR,2022-09-22,6251.26,3640.78,VIP
60,User60,DK,2023-09-10,2443.06,1775.91,Gold
61,User61,SE,2023-05-01,4892.82,1756.32,VIP
62,User62,NO,2023-06-08,7750.51,6174.81,VIP
63,User63,NL,2022-08-17,4438.77,2119.06,Regular
64,User64,UK,2023-05-21,619.72,538.36,Gold
65,User65,NO,2023-03-05,8493.82,4208.03,Gold
66,User66,FR,2023-09-28,6978.15,6167.19,Silver
67,User67,UK,2023-04-11,5947.09,3955.98,Silver
68,User68,IT,2023-04-13,8054.37,5266.5,Regular
69,User69,FR,2023-08-20,7400.09,6346.66,Regular
70,User70,ES,2023-10-21,4640.32,2916.29,Silver
71,User71,PL,2023-01-03,5771.06,2613.16,Gold
72,User72,UK,2023-10-05,6249.0,2351.22,VIP
73,User73,SE,2023-07-07,4990.76,2775.47,Silver
74,User74,IT,2023-07-14,1387.05,612.15,Regular
75,User75,FR,2022-12-27,7305.46,5470.69,Regular
76,User76,NL,2023-05-25,9726.24,7435.81,Gold
77,User77,DE,2022-11-18,473.44,273.9,Silver
78,User78,NL,2023-12-17,5099.81,4724.14,Regular
79,User79,DE,2024-02-07,9883.93,4044.43,VIP
80,User80,IT,2023-03-26,159.21,79.46,VIP
81,User81,FR,2023-07-05,9788.87,6326.69,Gold
82,User82,FR,2022-11-30,5573.95,4898.04,Gold
83,User83,NO,2024-01-28,4095.7,1347.95,Silver
84,User84,NO,2023-02-01,2668.11,804.61,VIP
85,User85,ES,2023-11-27,6722.82,3685.87,Regular
86,User86,ES,2023-03-05,721.0,531.17,VIP
